*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB Led Drivers
*Date=17:07:27
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
100;220;THT;8.01565;-147.174;0;Bottom;R51
101;;;28.575;-334.317;0;Bottom;Copper Fill319
102;;;7.0358;-389.714;0;Bottom;Copper Fill285
103;;5 mm [THT];26.2021;-348.701;0;Bottom;LED90
104;;;28.6258;-211.559;0;Bottom;Copper Fill391
105;;;8.3566;-225.224;0;Bottom;Copper Fill99
106;;;15.7734;-32.1583;0;Bottom;Copper Fill496
107;100nF;100 mil [THT, multilayer];3.97417;-102.703;0;Bottom;C15
108;;;14.1605;-210.187;0;Bottom;Copper Fill532
109;;;9.93236;-117.23;0;Bottom;TXT1
110;;DIP (Dual Inline) [THT];11.7437;-281.116;-90;Bottom;IC23
111;;;7.0358;-249.506;0;Bottom;Copper Fill365
112;1?F;100 mil [THT, tantalum];13.2452;-336.002;0;Bottom;C38
113;;5 mm [THT];26.3291;-62.4436;0;Bottom;LED28
114;;;11.1252;-56.0597;0;Bottom;Copper Fill486
115;;;28.2194;-317.324;0;Bottom;Copper Fill47
116;;;18.288;-306.199;0;Bottom;Copper Fill335
117;100nF;100 mil [THT, multilayer];3.86969;-242.889;0;Bottom;C45
118;;;9.525;-162.321;0;Bottom;Copper Fill227
119;;;11.5824;-234.622;0;Bottom;Copper Fill94
120;;;23.3934;-306.351;0;Bottom;Copper Fill332
121;220;THT;7.93369;-240.603;0;Bottom;R59
122;;;3.2258;-364.619;0;Bottom;Copper Fill301
123;;;17.5768;-401.436;0;Bottom;Copper Fill556
124;;;28.321;-94.5661;0;Bottom;Copper Fill177
125;100nF;100 mil [THT, multilayer];4.48217;-398.486;0;Bottom;C50
126;;;15.367;-336.057;0;Bottom;Copper Fill548
127;;;12.7762;-380.621;0;Bottom;Copper Fill294
128;;;12.8778;-100.205;0;Bottom;Copper Fill463
129;;;17.0434;-365.406;0;Bottom;Copper Fill17
130;;;11.5062;-271.134;0;Bottom;Copper Fill243
131;;;13.7033;-34.5713;0;Bottom;Copper Fill215
132;;DIP (Dual Inline) [THT];11.8482;-109.307;-90;Bottom;IC9
133;;;13.0302;-162.156;0;Bottom;Copper Fill140
134;220;THT;8.03817;-115.53;0;Bottom;R48
135;220;THT;8.03817;-53.6806;0;Bottom;R43
136;;;2.5273;-382.247;0;Bottom;Copper Fill265
137;;;29.3742;-112.101;0;Bottom;Via73
138;;;28.6512;-224.005;0;Bottom;Copper Fill383
139;;;26.7462;-186.59;0;Bottom;Copper Fill407
140;;;2.7813;-371.833;0;Bottom;Copper Fill257
141;;;25.0698;-347.677;0;Bottom;Copper Fill310
142;;;29.2354;-228.958;0;Bottom;Copper Fill378
143;;;19.5072;-72.6459;0;Bottom;Copper Fill478
144;;;2.6924;-348.998;0;Bottom;Copper Fill27
145;;;9.525;-115.585;0;Bottom;Copper Fill219
146;;;28.6004;-240.819;0;Bottom;Copper Fill373
147;;;23.622;-72.7475;0;Bottom;Copper Fill475
148;;;2.6289;-195.353;0;Bottom;Copper Fill230
149;;;19.5072;-119.382;0;Bottom;Copper Fill449
150;;;7.9248;-349.176;0;Bottom;Copper Fill28
151;;;12.8778;-53.4689;0;Bottom;Copper Fill490
152;;;3.3274;-177.7;0;Bottom;Copper Fill411
153;;;8.0264;-53.6467;0;Bottom;Copper Fill199
154;;;9.4234;-287.39;0;Bottom;Copper Fill247
155;;;23.2918;-281.485;0;Bottom;Copper Fill67
156;;;14.8336;-388.495;0;Bottom;Copper Fill286
157;;;14.5796;-209.222;0;Bottom;Copper Fill392
158;;;10.6172;-86.7302;0;Bottom;Copper Fill506
159;;;17.4752;-239.88;0;Bottom;Copper Fill375
160;;;10.4013;-361.114;0;Bottom;Copper Fill260
161;;;18.0594;-201.17;0;Bottom;Copper Fill397
162;;;17.4752;-286.616;0;Bottom;Copper Fill349
163;;;28.321;-59.5141;0;Bottom;Copper Fill195
164;;;10.5664;-311.736;0;Bottom;Copper Fill48
165;;;29.1084;-339.93;0;Bottom;Copper Fill314
166;220;THT;8.03817;-68.7936;0;Bottom;R44
167;;;28.5496;-305.005;0;Bottom;Copper Fill333
168;;;14.9352;-154.84;0;Bottom;Copper Fill425
169;;;20.0406;-70.1059;0;Bottom;Copper Fill188
170;220;THT;7.93369;-255.716;0;Bottom;R63
171;;;2.6924;-380.621;0;Bottom;Copper Fill7
172;;;28.575;-364.213;0;Bottom;Copper Fill302
173;;;26.2636;-40.2609;0;Bottom;Copper Fill205
174;1?F;100 mil [THT, tantalum];13.3722;-55.5856;0;Bottom;C7
175;;5 mm [THT];26.3066;-214.357;0;Bottom;LED56
176;220;THT;8.03817;-100.417;0;Bottom;R47
177;;;28.2194;-380.824;0;Bottom;Copper Fill6
178;1?F;100 mil [THT, tantalum];12.7372;-367.117;0;Bottom;C30
179;;;23.5322;-77.4296;0;Bottom;Via12
180;;DIP (Dual Inline) [THT];11.8256;-187.687;-90;Bottom;IC13
181;;;18.9484;-335.917;0;Bottom;Copper Fill317
182;100nF;100 mil [THT, multilayer];4.12369;-273.623;0;Bottom;C36
183;;;25.1714;-300.814;0;Bottom;Copper Fill338
184;;;19.8492;-75.9056;0;Bottom;Via58
185;1?F;100 mil [THT, tantalum];12.9686;-211.055;0;Bottom;C24
186;;;15.494;-55.6406;0;Bottom;Copper Fill216
187;;;29.8596;-189.211;0;Bottom;Via100
188;;;28.2956;-158.854;0;Bottom;Copper Fill141
189;;;27.0002;-228.958;0;Bottom;Copper Fill97
190;;;15.494;-102.377;0;Bottom;Copper Fill518
191;;;19.939;-303.761;0;Bottom;Copper Fill53
192;;;8.4328;-85.0157;0;Bottom;Copper Fill180
193;;;28.2194;-258.142;0;Bottom;Copper Fill82
194;;;15.4686;-149.113;0;Bottom;Copper Fill524
195;;;17.0688;-318.67;0;Bottom;Copper Fill45
196;;;28.2956;-193.906;0;Bottom;Copper Fill118
197;;;29.21;-275.668;0;Bottom;Copper Fill352
198;220;THT;8.06069;-317.819;0;Bottom;R56
199;;5 mm [THT];26.3291;-44.9176;0;Bottom;LED33
200;;;23.368;-47.8301;0;Bottom;Copper Fill202
201;;;19.05;-195.709;0;Bottom;Copper Fill401
202;;;2.6289;-148.617;0;Bottom;Copper Fill220
203;;;11.5824;-328.094;0;Bottom;Copper Fill38
204;;;23.5096;-217.659;0;Bottom;Via96
205;;DIP (Dual Inline) [THT];11.7629;-311.475;-90;Bottom;IC17
206;;;10.5664;-265;0;Bottom;Copper Fill76
207;100nF;100 mil [THT, multilayer];3.97417;-71.0796;0;Bottom;C10
208;;5 mm [THT];26.3066;-161.779;0;Bottom;LED59
209;1?F;100 mil [THT, tantalum];12.8416;-180.194;0;Bottom;C18
210;100nF;100 mil [THT, multilayer];4.12369;-226.887;0;Bottom;C33
211;;;11.5062;-317.87;0;Bottom;Copper Fill541
212;;DIP (Dual Inline) [THT];11.8674;-77.816;-90;Bottom;IC6
213;1?F;100 mil [THT, tantalum];13.3496;-149.079;0;Bottom;C21
214;;;17.5514;-52.9609;0;Bottom;Copper Fill491
215;;;27.4692;-362.163;0;Bottom;Via152
216;;5 mm [THT];26.3066;-202.673;0;Bottom;LED52
217;100nF;100 mil [THT, multilayer];3.95165;-164.573;0;Bottom;C27
218;;;7.112;-311.457;0;Bottom;Copper Fill330
219;;;12.7762;-333.885;0;Bottom;Copper Fill320
220;;;11.6078;-224.449;0;Bottom;Copper Fill528
221;;;28.6512;-177.269;0;Bottom;Copper Fill412
222;;;19.7447;-309.565;0;Bottom;Via105
223;;;28.321;-112.092;0;Bottom;Copper Fill167
224;;;2.9337;-121.77;0;Bottom;Copper Fill507
225;;;1.9304;-321.668;0;Bottom;Copper Fill42
226;;;10.1255;-195.57;0;Bottom;TXT1
227;;;19.9136;-350.522;0;Bottom;Copper Fill25
228;;;23.5204;-166.194;0;Bottom;Copper Fill416
229;;;18.0594;-154.434;0;Bottom;Copper Fill426
230;;5 mm [THT];26.3066;-138.411;0;Bottom;LED47
231;;;14.1097;-303.608;0;Bottom;Copper Fill544
232;;;21.717;-106.911;0;Bottom;Copper Fill458
233;;;9.90984;-163.987;0;Bottom;TXT1
234;;DIP (Dual Inline) [THT];11.8449;-171.309;-90;Bottom;IC10
235;1?F;100 mil [THT, tantalum];13.2452;-382.738;0;Bottom;C39
236;;;27.5736;-175.241;0;Bottom;Via97
237;100nF;100 mil [THT, multilayer];3.84717;-336.383;0;Bottom;C46
238;;;7.0358;-296.242;0;Bottom;Copper Fill339
239;;;17.4244;-380.113;0;Bottom;Copper Fill295
240;;;4.40165;-401.519;0;Bottom;TXT1
241;;;14.4653;-335.155;0;Bottom;Copper Fill266
242;;;1.9558;-228.145;0;Bottom;Copper Fill98
243;;;28.2956;-223.878;0;Bottom;Copper Fill103
244;;;15.8818;-226.254;0;Bottom;TXT1
245;;;2.5781;-257.126;0;Bottom;Copper Fill239
246;;;19.7222;-356.321;0;Bottom;Via108
247;;;21.1074;-334.215;0;Bottom;Copper Fill33
248;;;28.6004;-270.715;0;Bottom;Copper Fill356
249;;;7.0358;-342.978;0;Bottom;Copper Fill311
250;;;3.8862;-275.236;0;Bottom;Copper Fill353
251;;;13.7033;-34.5713;0;Bottom;Copper Fill510
252;;;11.6332;-94.6677;0;Bottom;Copper Fill175
253;;;15.4686;-149.113;0;Bottom;Copper Fill231
254;;;2.6797;-70.2329;0;Bottom;Copper Fill209
255;;DIP (Dual Inline) [THT];11.7212;-342.987;-90;Bottom;IC27
256;;;23.2664;-328.246;0;Bottom;Copper Fill39
257;;;14.732;-115.826;0;Bottom;Copper Fill450
258;1?F;100 mil [THT, tantalum];12.8867;-304.484;0;Bottom;C42
259;;;28.7274;-118.061;0;Bottom;Copper Fill447
260;;;7.239;-124.564;0;Bottom;Copper Fill444
261;;;28.321;-130.38;0;Bottom;Copper Fill157
262;100nF;100 mil [THT, multilayer];3.86969;-258.002;0;Bottom;C49
263;;;9.90984;-210.723;0;Bottom;TXT1
264;;;15.9637;-179.561;0;Bottom;TXT1
265;;;28.6004;-317.451;0;Bottom;Copper Fill328
266;;;29.1592;-369.14;0;Bottom;Copper Fill298
267;;;10.4013;-392.61;0;Bottom;Copper Fill270
268;;;12.6492;-108.917;0;Bottom;Copper Fill168
269;;;7.9248;-240.54;0;Bottom;Copper Fill92
270;;;10.148;-55.3407;0;Bottom;TXT1
271;;;22.9197;-262.829;0;Bottom;Via111
272;;;7.0612;-281.104;0;Bottom;Copper Fill350
273;;;8.3312;-318.67;0;Bottom;Copper Fill43
274;;;8.0264;-100.383;0;Bottom;Copper Fill173
275;;;29.7552;-376.133;0;Bottom;Via154
276;;;10.0435;-242.263;0;Bottom;TXT1
277;;;28.321;-71.1981;0;Bottom;Copper Fill189
278;;;28.321;-83.6441;0;Bottom;Copper Fill183
279;;;10.8712;-164.696;0;Bottom;Copper Fill417
280;;;8.3312;-271.934;0;Bottom;Copper Fill71
281;;;11.1252;-102.796;0;Bottom;Copper Fill459
282;;5 mm [THT];26.2246;-243.524;0;Bottom;LED77
283;;;29.2472;-392.516;0;Bottom;Via160
284;;;2.6797;-55.0945;0;Bottom;Copper Fill206
285;;;19.0754;-102.212;0;Bottom;Copper Fill460
286;;;9.82788;-257.417;0;Bottom;TXT1
287;;;2.5146;-39.4862;0;Bottom;Copper Fill500
288;;;9.6774;-84.1902;0;Bottom;Copper Fill212
289;;5 mm [THT];26.2246;-307.786;0;Bottom;LED84
290;;;15.0368;-132.768;0;Bottom;Copper Fill440
291;;;28.2194;-357.456;0;Bottom;Copper Fill22
292;;5 mm [THT];26.3291;-56.6016;0;Bottom;LED29
293;;;28.2194;-263.984;0;Bottom;Copper Fill78
294;;;14.4653;-381.891;0;Bottom;Copper Fill279
295;;;12.8524;-193.702;0;Bottom;Copper Fill404
296;;;15.9863;-86.0676;0;Bottom;TXT1
297;;;9.4234;-240.654;0;Bottom;Copper Fill240
298;;;14.1605;-163.451;0;Bottom;Copper Fill525
299;100nF;100 mil [THT, multilayer];3.86969;-304.738;0;Bottom;C51
300;;;11.8618;-71.9347;0;Bottom;Copper Fill186
301;;;20.0152;-83.1107;0;Bottom;Copper Fill472
302;;;6.163;-32.9282;0;Bottom;TXT1
303;;;29.2697;-252.288;0;Bottom;Via157
304;;;21.971;-265.457;0;Bottom;Copper Fill77
305;;5 mm [THT];26.2021;-337.017;0;Bottom;LED80
306;1µF;100 mil [THT, electrolytic];10.7052;-400.264;0;Bottom;C54
307;;;24.5316;-36.9185;0;Bottom;TXT1
308;;;10.0435;-288.999;0;Bottom;TXT1
309;;;21.209;-53.7991;0;Bottom;Copper Fill196
310;;;2.8321;-308.688;0;Bottom;Copper Fill537
311;;5 mm [THT];26.2021;-377.911;0;Bottom;LED87
312;;;29.2608;-135.486;0;Bottom;Copper Fill437
313;;;7.1374;-47.4491;0;Bottom;Copper Fill492
314;;;15.9637;-132.825;0;Bottom;TXT1
315;;;22.0472;-125.249;0;Bottom;Copper Fill158
316;;;18.7833;-34.5713;0;Bottom;Copper Fill516
317;;;9.82788;-304.153;0;Bottom;TXT1
318;;;2.5781;-288.775;0;Bottom;Copper Fill244
319;;;11.8618;-212.194;0;Bottom;Copper Fill107
320;;;10.5156;-226.938;0;Bottom;Copper Fill529
321;;;27.0002;-182.222;0;Bottom;Copper Fill125
322;;;15.8818;-272.99;0;Bottom;TXT1
323;;;21.8186;-223.039;0;Bottom;Copper Fill102
324;;;9.4234;-380.862;0;Bottom;Copper Fill271
325;;;11.1633;-34.5713;0;Bottom;Copper Fill508
326;;DIP (Dual Inline) [THT];11.8482;-47.4576;-90;Bottom;IC4
327;;;15.367;-382.793;0;Bottom;Copper Fill553
328;;;19.4818;-119.357;0;Bottom;Copper Fill161
329;;;29.8822;-48.9816;0;Bottom;Via9
330;;;28.194;-386.666;0;Bottom;Copper Fill4
331;;;23.5204;-212.93;0;Bottom;Copper Fill387
332;100nF;100 mil [THT, multilayer];3.95165;-211.309;0;Bottom;C28
333;;;27.5962;-81.7476;0;Bottom;Via13
334;;;12.9286;-101.754;0;Bottom;Copper Fill174
335;;;12.9286;-349.049;0;Bottom;Copper Fill29
336;;;19.7447;-262.829;0;Bottom;Via106
337;;;28.2956;-177.142;0;Bottom;Copper Fill130
338;;;11.4808;-364.606;0;Bottom;Copper Fill545
339;;;2.7432;-68.4295;0;Bottom;Copper Fill190
340;;;18.9484;-382.653;0;Bottom;Copper Fill291
341;;;23.6728;-119.484;0;Bottom;Copper Fill446
342;;;3.5433;-34.5967;0;Bottom;Copper Fill501
343;;;13.0302;-115.369;0;Bottom;Copper Fill166
344;;;28.2194;-299.036;0;Bottom;Copper Fill58
345;;;24.8539;-34.4374;0;Bottom;TXT1
346;;;12.6492;-202.415;0;Bottom;Copper Fill115
347;;;11.7856;-258.828;0;Bottom;Copper Fill79
348;;;10.1255;-148.834;0;Bottom;TXT1
349;;;18.1612;-39.1688;0;Bottom;TXT1
350;1?F;100 mil [THT, tantalum];12.9912;-70.8256;0;Bottom;C8
351;100nF;100 mil [THT, multilayer];3.95165;-149.46;0;Bottom;C25
352;;;9.80536;-350.911;0;Bottom;TXT1
353;;5 mm [THT];26.3291;-79.9696;0;Bottom;LED34
