*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB Led Drivers
*Date=17:07:27
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
438;;;11.5824;-281.358;0;Bottom;Copper Fill66
439;;;14.5288;-302.643;0;Bottom;Copper Fill336
440;;5 mm [THT];26.2246;-290.26;0;Bottom;LED78
441;;;12.5984;-342.597;0;Bottom;Copper Fill31
442;;5 mm [THT];26.2246;-237.682;0;Bottom;LED85
443;;;28.6004;-287.555;0;Bottom;Copper Fill347
444;;;8.0264;-162.257;0;Bottom;Copper Fill139
445;220;THT;7.91117;-334.097;0;Bottom;R62
446;;;11.7856;-305.564;0;Bottom;Copper Fill51
447;;;29.5012;-329.271;0;Bottom;Via155
448;;;8.0264;-115.496;0;Bottom;Copper Fill165
449;;;28.2956;-199.748;0;Bottom;Copper Fill116
450;;THT;16.2932;-36.7896;-90;Bottom;J18
451;;;23.2918;-234.749;0;Bottom;Copper Fill95
452;;;2.9337;-59.7681;0;Bottom;Copper Fill497
453;;;11.6078;-177.713;0;Bottom;Copper Fill522
454;;;27.0256;-88.7241;0;Bottom;Copper Fill178
455;;;14.6558;-256.237;0;Bottom;Copper Fill362
456;;;9.525;-100.446;0;Bottom;Copper Fill218
457;;;28.7274;-53.8245;0;Bottom;Copper Fill489
458;;;21.7424;-269.725;0;Bottom;Copper Fill74
459;;;13.9954;-262.765;0;Bottom;Copper Fill359
460;;;6.7056;-242.039;0;Bottom;Copper Fill372
461;;;7.9248;-302.414;0;Bottom;Copper Fill56
462;;;17.5514;-146.458;0;Bottom;Copper Fill434
463;;;28.194;-345.772;0;Bottom;Copper Fill30
464;;;3.302;-224.436;0;Bottom;Copper Fill382
465;;;11.6078;-188.038;0;Bottom;Copper Fill122
466;;;15.494;-55.6406;0;Bottom;Copper Fill513
467;;;11.6078;-130.926;0;Bottom;Copper Fill223
468;100nF;100 mil [THT, multilayer];3.97417;-55.9666;0;Bottom;C9
469;;;2.5273;-335.511;0;Bottom;Copper Fill254
470;;;6.6802;-335.511;0;Bottom;Copper Fill318
471;;;6.9596;-109.298;0;Bottom;Copper Fill453
472;;;14.1097;-256.872;0;Bottom;Copper Fill539
473;;5 mm [THT];26.3291;-85.8117;0;Bottom;LED36
474;;;14.2113;-69.9789;0;Bottom;Copper Fill505
475;;;20.0406;-210.339;0;Bottom;Copper Fill109
476;;;19.8492;-122.642;0;Bottom;Via60
477;;;28.194;-328.246;0;Bottom;Copper Fill40
478;;;14.9352;-201.576;0;Bottom;Copper Fill396
479;;;28.6512;-194.134;0;Bottom;Copper Fill403
480;;;14.2113;-116.715;0;Bottom;Copper Fill519
481;;;12.6492;-62.1811;0;Bottom;Copper Fill194
482;;;2.7686;-364.644;0;Bottom;Copper Fill16
483;;;18.0848;-107.673;0;Bottom;Copper Fill456
484;;;15.621;-401.436;0;Bottom;Copper Fill555
485;;;10.148;-102.077;0;Bottom;TXT1
486;;;10.9728;-289.74;0;Bottom;Copper Fill344
487;;;11.5062;-317.87;0;Bottom;Copper Fill251
488;;;18.6182;-302.414;0;Bottom;Copper Fill337
489;;;11.0744;-149.583;0;Bottom;Copper Fill429
490;;DIP (Dual Inline) [THT];11.8482;-62.5706;-90;Bottom;IC5
491;;;28.6004;-381.002;0;Bottom;Copper Fill293
492;;;12.827;-288.673;0;Bottom;Copper Fill65
493;;;29.3742;-65.3646;0;Bottom;Via10
494;;;21.1074;-240.743;0;Bottom;Copper Fill89
495;;;11.4808;-364.606;0;Bottom;Copper Fill264
496;;;20.2302;-77.4296;0;Bottom;Via43
497;;;19.3802;-306.25;0;Bottom;Copper Fill52
498;220;THT;8.01565;-193.91;0;Bottom;R52
499;;;2.5781;-242.039;0;Bottom;Copper Fill237
500;;;19.4564;-166.118;0;Bottom;Copper Fill135
501;;;2.6924;-333.885;0;Bottom;Copper Fill35
502;;;26.6954;-280.012;0;Bottom;Copper Fill351
503;;;28.2956;-170.538;0;Bottom;Copper Fill133
504;;;11.6078;-177.713;0;Bottom;Copper Fill229
505;;;23.0016;-169.399;0;Bottom;Via78
506;;;20.2302;-124.166;0;Bottom;Via63
507;;;26.7462;-93.0675;0;Bottom;Copper Fill466
508;;;28.2956;-141.328;0;Bottom;Copper Fill151
509;1?F;100 mil [THT, tantalum];12.8642;-86.7006;0;Bottom;C11
510;;;12.9032;-148.49;0;Bottom;Copper Fill148
511;;5 mm [THT];26.3291;-97.4957;0;Bottom;LED43
512;;;18.5674;-162.257;0;Bottom;Copper Fill422
513;;;28.2956;-205.59;0;Bottom;Copper Fill114
514;;;14.6812;-349.608;0;Bottom;Copper Fill309
515;;;9.3853;-401.297;0;Bottom;Copper Fill268
516;;;28.2448;-364.06;0;Bottom;Copper Fill19
517;;;28.2956;-211.432;0;Bottom;Copper Fill110
518;;;7.0358;-62.5621;0;Bottom;Copper Fill481
519;;;6.7818;-148.617;0;Bottom;Copper Fill431
520;;;14.0716;-169.318;0;Bottom;Copper Fill415
521;;;29.1592;-322.404;0;Bottom;Copper Fill324
522;;;26.8732;-322.404;0;Bottom;Copper Fill41
523;;;2.7432;-100.078;0;Bottom;Copper Fill171
524;;;2.8829;-184.889;0;Bottom;Copper Fill520
525;;;17.1958;-131.752;0;Bottom;Copper Fill155
526;;;1.9304;-368.404;0;Bottom;Copper Fill14
527;;;7.2136;-218.061;0;Bottom;Copper Fill385
528;;;29.2862;-106.276;0;Bottom;Copper Fill457
529;;;10.9728;-336.501;0;Bottom;Copper Fill316
530;;;20.0152;-129.847;0;Bottom;Copper Fill443
531;;;17.9832;-341.353;0;Bottom;Copper Fill313
532;;;23.5322;-124.166;0;Bottom;Via70
533;;;20.1257;-264.353;0;Bottom;Via117
534;;;25.2222;-394.261;0;Bottom;Copper Fill284
535;;5 mm [THT];26.3291;-109.18;0;Bottom;LED40
536;;;2.6797;-101.831;0;Bottom;Copper Fill210
537;;5 mm [THT];26.2246;-231.84;0;Bottom;LED65
538;;;29.5012;-282.662;0;Bottom;Via156
539;220;THT;7.91117;-395.944;0;Bottom;R64
540;;;12.7762;-287.124;0;Bottom;Copper Fill348
541;;;15.621;-401.436;0;Bottom;Copper Fill277
542;1µF;100 mil [THT, electrolytic];4.86317;-35.5196;0;Bottom;C53
543;220;THT;7.93369;-302.452;0;Bottom;R65
544;;;2.9337;-44.6805;0;Bottom;Copper Fill498
545;;;15.4686;-195.849;0;Bottom;Copper Fill238
546;;;29.1592;-246.433;0;Bottom;Copper Fill368
547;;;15.7734;-406.351;0;Bottom;Copper Fill1
548;;;2.9337;-215.267;0;Bottom;Copper Fill523
549;;;10.6172;-80.3167;0;Bottom;Copper Fill179
550;;5 mm [THT];26.2021;-383.753;0;Bottom;LED79
551;;5 mm [THT];26.2246;-284.418;0;Bottom;LED86
552;;;28.2194;-270.588;0;Bottom;Copper Fill75
553;;;28.6004;-258.269;0;Bottom;Copper Fill360
554;;;22.0472;-78.5133;0;Bottom;Copper Fill184
555;;;2.794;-271.172;0;Bottom;Copper Fill72
556;;;7.1374;-140.947;0;Bottom;Copper Fill435
557;;5 mm [THT];26.3291;-50.7596;0;Bottom;LED31
558;;5 mm [THT];26.2246;-266.892;0;Bottom;LED61
559;;;29.7777;-235.905;0;Bottom;Via153
560;;;23.368;-188.064;0;Bottom;Copper Fill123
561;;;16.2433;-34.5713;0;Bottom;Copper Fill514
562;220;THT;8.03817;-364.575;0;Bottom;R57
563;;;22.0472;-218.772;0;Bottom;Copper Fill105
564;;;29.2472;-345.78;0;Bottom;Via159
565;;;11.684;-108.841;0;Bottom;Copper Fill454
566;;;15.621;-399.15;0;Bottom;Copper Fill551
567;;;10.4013;-377.497;0;Bottom;Copper Fill269
568;;;2.8194;-224.284;0;Bottom;Copper Fill100
569;;;21.717;-363.222;0;Bottom;Copper Fill18
570;;;3.9116;-321.998;0;Bottom;Copper Fill325
571;;;9.6774;-224.449;0;Bottom;Copper Fill235
572;;5 mm [THT];26.2021;-342.859;0;Bottom;LED76
573;;;14.859;-294.998;0;Bottom;Copper Fill340
574;;;28.321;-100.408;0;Bottom;Copper Fill172
575;;5 mm [THT];26.2021;-372.069;0;Bottom;LED67
576;;;9.6774;-177.713;0;Bottom;Copper Fill228
577;;;21.844;-129.542;0;Bottom;Copper Fill156
578;;5 mm [THT];26.2021;-354.543;0;Bottom;LED83
579;;;17.5514;-99.6969;0;Bottom;Copper Fill464
580;;5 mm [THT];26.2246;-319.47;0;Bottom;LED71
581;220;THT;19.2142;-401.405;0;Bottom;R68
582;;;12.827;-335.434;0;Bottom;Copper Fill37
583;;;17.1704;-178.488;0;Bottom;Copper Fill128
584;;;29.2608;-182.222;0;Bottom;Copper Fill408
585;;;8.3058;-365.406;0;Bottom;Copper Fill15
586;;;2.9337;-75.0335;0;Bottom;Copper Fill499
587;;;21.6916;-247.093;0;Bottom;Copper Fill369
588;;;13.6801;-399.699;0;Bottom;TXT1
589;;;20.0406;-163.603;0;Bottom;Copper Fill136
590;;;20.2076;-217.659;0;Bottom;Via82
591;;;20.2076;-170.923;0;Bottom;Via81
592;;;23.4277;-311.089;0;Bottom;Via147
593;;;11.8618;-165.458;0;Bottom;Copper Fill134
594;;;3.3528;-84.2283;0;Bottom;Copper Fill470
595;220;THT;8.16517;-130.897;0;Bottom;R46
596;;;10.668;-258.117;0;Bottom;Copper Fill361
597;;;28.321;-77.0401;0;Bottom;Copper Fill185
598;;;29.2608;-88.7495;0;Bottom;Copper Fill467
599;;;10.5156;-273.674;0;Bottom;Copper Fill536
600;;;14.8082;-69.1407;0;Bottom;Copper Fill479
601;;;28.2702;-359.006;0;Bottom;Copper Fill305
602;;;26.7462;-139.854;0;Bottom;Copper Fill436
603;;;21.209;-147.322;0;Bottom;Copper Fill144
604;;;28.6512;-71.3505;0;Bottom;Copper Fill476
605;;;2.9337;-168.531;0;Bottom;Copper Fill515
606;;;28.2956;-217.274;0;Bottom;Copper Fill106
607;;;25.146;-160.632;0;Bottom;Copper Fill423
608;;;17.5768;-399.15;0;Bottom;Copper Fill552
609;;;26.67;-373.484;0;Bottom;Copper Fill297
610;;;9.4234;-302.478;0;Bottom;Copper Fill248
611;;;14.8844;-61.4191;0;Bottom;Copper Fill482
612;;;2.8321;-278.335;0;Bottom;Copper Fill533
613;;;11.6078;-224.449;0;Bottom;Copper Fill236
614;;;2.6924;-302.237;0;Bottom;Copper Fill55
615;;;17.9832;-294.591;0;Bottom;Copper Fill341
616;;;19.8266;-216.135;0;Bottom;Via76
617;;;12.9286;-55.0183;0;Bottom;Copper Fill200
618;;5 mm [THT];26.2021;-395.437;0;Bottom;LED91
619;;;21.844;-82.8059;0;Bottom;Copper Fill182
620;;;7.0612;-234.368;0;Bottom;Copper Fill376
621;;DIP (Dual Inline) [THT];11.7437;-249.493;-90;Bottom;IC24
622;;;9.4234;-349.265;0;Bottom;Copper Fill261
623;;;21.8186;-176.303;0;Bottom;Copper Fill129
624;;;10.021;-382.492;0;Bottom;TXT1
625;;;9.4234;-396.001;0;Bottom;Copper Fill549
626;;;9.525;-53.7102;0;Bottom;Copper Fill211
627;;;17.5768;-401.436;0;Bottom;Copper Fill278
628;;;28.2194;-287.352;0;Bottom;Copper Fill62
629;;;20.0406;-116.842;0;Bottom;Copper Fill162
630;;5 mm [THT];26.3291;-132.548;0;Bottom;LED39
631;;;10.9728;-383.237;0;Bottom;Copper Fill290
632;;;2.6924;-255.501;0;Bottom;Copper Fill83
633;;;21.1074;-380.951;0;Bottom;Copper Fill5
634;;5 mm [THT];26.3291;-103.338;0;Bottom;LED41
635;;;2.7813;-386.92;0;Bottom;Copper Fill258
636;1?F;100 mil [THT, tantalum];13.3722;-102.322;0;Bottom;C13
637;;;3.9878;-228.5;0;Bottom;Copper Fill379
638;;DIP (Dual Inline) [THT];11.7212;-327.874;-90;Bottom;IC21
639;;;15.8593;-366.484;0;Bottom;TXT1
640;;;23.2664;-374.982;0;Bottom;Copper Fill11
641;;;19.8266;-169.399;0;Bottom;Via75
642;;;13.9954;-309.501;0;Bottom;Copper Fill331
643;;;2.7432;-193.626;0;Bottom;Copper Fill119
644;;;3.9878;-88.3177;0;Bottom;Copper Fill468
645;;;13.9446;-356.237;0;Bottom;Copper Fill306
646;;;28.2956;-147.17;0;Bottom;Copper Fill145
647;;;8.0264;-68.7597;0;Bottom;Copper Fill191
648;;;2.7432;-208.739;0;Bottom;Copper Fill111
649;;;17.4244;-333.377;0;Bottom;Copper Fill321
650;;;28.2194;-234.774;0;Bottom;Copper Fill96
651;;;12.5984;-295.836;0;Bottom;Copper Fill59
652;;;2.5654;-35.5746;0;Bottom;Copper Fill502
653;;;17.9832;-388.089;0;Bottom;Copper Fill287
654;;;10.4902;-320.41;0;Bottom;Copper Fill542
655;;;7.1374;-156.06;0;Bottom;Copper Fill424
656;;;26.924;-369.14;0;Bottom;Copper Fill13
657;;5 mm [THT];26.3291;-126.706;0;Bottom;LED37
658;;;15.8593;-319.748;0;Bottom;TXT1
659;100nF;100 mil [THT, multilayer];4.22817;-86.7006;0;Bottom;C12
660;;;18.6436;-208.968;0;Bottom;Copper Fill393
661;;;18.0848;-60.9365;0;Bottom;Copper Fill483
662;;;2.8321;-293.448;0;Bottom;Copper Fill534
663;;;19.4818;-72.6205;0;Bottom;Copper Fill187
664;;5 mm [THT];26.3291;-115.022;0;Bottom;LED44
665;;;19.3294;-212.803;0;Bottom;Copper Fill390
666;220;THT;8.14265;-177.654;0;Bottom;R49
667;;;19.3548;-353.037;0;Bottom;Copper Fill24
668;100nF;100 mil [THT, multilayer];3.97417;-117.816;0;Bottom;C16
669;;5 mm [THT];26.2021;-360.385;0;Bottom;LED62
670;;;14.0716;-216.054;0;Bottom;Copper Fill386
671;;;12.6492;-155.679;0;Bottom;Copper Fill142
672;;;21.971;-312.193;0;Bottom;Copper Fill49
673;;;14.097;-122.582;0;Bottom;Copper Fill445
674;;;28.2194;-252.3;0;Bottom;Copper Fill86
675;;;18.9992;-289.13;0;Bottom;Copper Fill345
676;;;10.7696;-304.853;0;Bottom;Copper Fill334
677;;;2.6289;-163.705;0;Bottom;Copper Fill224
678;;;19.8882;-363.501;0;Bottom;Copper Fill303
679;;;11.3538;-396.001;0;Bottom;Copper Fill550
680;;;10.021;-335.757;0;Bottom;TXT1
681;;;7.0358;-374.601;0;Bottom;Copper Fill296
682;;;28.2956;-164.696;0;Bottom;Copper Fill137
683;;;4.699;-180.469;0;Bottom;Copper Fill409
684;;;13.9954;-40.0577;0;Bottom;Copper Fill495
685;;;2.6924;-287.124;0;Bottom;Copper Fill63
686;;;28.321;-117.934;0;Bottom;Copper Fill163
687;;;23.368;-94.5661;0;Bottom;Copper Fill176
688;;;11.8618;-118.671;0;Bottom;Copper Fill160
689;;;28.6512;-147.398;0;Bottom;Copper Fill432
690;;;19.0754;-55.4755;0;Bottom;Copper Fill487
691;;;10.9728;-243.004;0;Bottom;Copper Fill370
692;;;20.1032;-357.845;0;Bottom;Via118
693;;;10.5918;-218.493;0;Bottom;Copper Fill104
694;;;6.8072;-225.884;0;Bottom;Copper Fill380
695;;5 mm [THT];26.2021;-325.334;0;Bottom;LED66
696;;;18.7833;-34.5713;0;Bottom;Copper Fill221
697;;;2.8321;-355.45;0;Bottom;Copper Fill252
698;;;18.8214;-115.547;0;Bottom;Copper Fill451
699;;;28.2194;-240.616;0;Bottom;Copper Fill90
700;;;2.8829;-138.153;0;Bottom;Copper Fill511
701;;;10.8966;-117.934;0;Bottom;Copper Fill448
702;;;10.922;-71.1981;0;Bottom;Copper Fill477
703;;;13.0302;-68.6327;0;Bottom;Copper Fill192
704;;;23.4052;-357.845;0;Bottom;Via148
705;;;19.9898;-176.583;0;Bottom;Copper Fill413
706;;DIP (Dual Inline) [THT];11.7404;-358.232;-90;Bottom;IC18
707;;;2.6289;-210.441;0;Bottom;Copper Fill232
708;;;26.9494;-275.668;0;Bottom;Copper Fill69
709;;;28.2194;-293.194;0;Bottom;Copper Fill60
710;;;2.9337;-91.4165;0;Bottom;Copper Fill503
711;;;29.1338;-386.692;0;Bottom;Copper Fill288
712;;5 mm [THT];26.3066;-208.515;0;Bottom;LED60
713;;;11.5824;-374.83;0;Bottom;Copper Fill10
714;100nF;100 mil [THT, multilayer];4.10117;-320.381;0;Bottom;C34
715;;;2.7813;-340.184;0;Bottom;Copper Fill249
716;1?F;100 mil [THT, tantalum];13.3496;-195.815;0;Bottom;C22
717;;;25.2222;-207.393;0;Bottom;Copper Fill394
718;;5 mm [THT];26.2246;-249.366;0;Bottom;LED73
719;;;7.9248;-334.063;0;Bottom;Copper Fill36
720;;;29.1592;-293.169;0;Bottom;Copper Fill342
721;;;11.6332;-47.9317;0;Bottom;Copper Fill201
722;;;3.1877;-397.639;0;Bottom;Copper Fill262
723;;;3.4417;-40.4133;0;Bottom;Copper Fill207
724;;;28.2956;-153.012;0;Bottom;Copper Fill143
725;;;28.2194;-310.72;0;Bottom;Copper Fill50
726;;;12.5984;-249.1;0;Bottom;Copper Fill87
727;;;29.2354;-153.012;0;Bottom;Copper Fill427
728;;5 mm [THT];26.2246;-278.576;0;Bottom;LED68
729;;;7.112;-358.218;0;Bottom;Copper Fill304
730;;;16.5989;-398.198;0;Bottom;Copper Fill274
731;;5 mm [THT];26.2021;-366.227;0;Bottom;LED72
732;;5 mm [THT];26.3066;-185.147;0;Bottom;LED48
733;;;15.0368;-179.504;0;Bottom;Copper Fill410
734;;;2.8321;-231.599;0;Bottom;Copper Fill526
735;;5 mm [THT];26.3066;-144.253;0;Bottom;LED57
736;1?F;100 mil [THT, tantalum];12.7597;-273.623;0;Bottom;C31
737;;DIP (Dual Inline) [THT];11.8449;-218.045;-90;Bottom;IC11
738;;DIP (Dual Inline) [THT];11.8256;-156.064;-90;Bottom;IC14
739;;;27.5736;-221.977;0;Bottom;Via98
740;;;27.4917;-268.67;0;Bottom;Via149
741;;;23.0016;-216.135;0;Bottom;Via77
742;;;7.9248;-255.678;0;Bottom;Copper Fill84
743;;5 mm [THT];26.2246;-255.208;0;Bottom;LED89
744;;;19.9136;-270.004;0;Bottom;Copper Fill357
745;;DIP (Dual Inline) [THT];11.7212;-374.61;-90;Bottom;IC22
746;;;14.7828;-272.925;0;Bottom;Copper Fill354
747;1?F;100 mil [THT, tantalum];13.2677;-242.508;0;Bottom;C37
748;;;9.6774;-130.926;0;Bottom;Copper Fill222
749;;;8.0264;-193.855;0;Bottom;Copper Fill120
750;;;28.6004;-164.823;0;Bottom;Copper Fill420
751;1?F;100 mil [THT, tantalum];12.8642;-351.242;0;Bottom;C44
752;;;2.7432;-146.89;0;Bottom;Copper Fill146
753;;;12.827;-382.17;0;Bottom;Copper Fill9
754;;5 mm [THT];26.3066;-173.463;0;Bottom;LED45
755;;5 mm [THT];26.3291;-91.6537;0;Bottom;LED38
756;;;19.4564;-212.854;0;Bottom;Copper Fill108
757;;;28.2194;-351.614;0;Bottom;Copper Fill26
758;;;7.2136;-171.325;0;Bottom;Copper Fill414
759;;;7.0358;-327.865;0;Bottom;Copper Fill322
760;;5 mm [THT];26.3066;-179.305;0;Bottom;LED49
761;;;27.5962;-128.484;0;Bottom;Via71
762;;;15.3924;-289.27;0;Bottom;Copper Fill543
763;;;26.7462;-46.3823;0;Bottom;Copper Fill493
764;100nF;100 mil [THT, multilayer];4.20565;-133.458;0;Bottom;C19
765;;DIP (Dual Inline) [THT];11.8482;-94.1936;-90;Bottom;IC8
766;;;10.6172;-127.053;0;Bottom;Copper Fill153
767;;;29.8822;-95.7177;0;Bottom;Via72
768;;;9.5758;-317.87;0;Bottom;Copper Fill250
769;;;12.9286;-302.313;0;Bottom;Copper Fill57
770;;;28.321;-106.25;0;Bottom;Copper Fill169
771;;;15.494;-102.377;0;Bottom;Copper Fill225
772;;;2.794;-317.883;0;Bottom;Copper Fill44
773;;5 mm [THT];26.2246;-301.944;0;Bottom;LED92
774;;;19.9136;-316.74;0;Bottom;Copper Fill329
775;;DIP (Dual Inline) [THT];11.7212;-389.723;-90;Bottom;IC25
776;;;3.302;-396.013;0;Bottom;Copper Fill282
777;;;14.8336;-319.661;0;Bottom;Copper Fill326
778;;;11.6078;-84.1902;0;Bottom;Copper Fill509
779;1?F;100 mil [THT, tantalum];13.2677;-289.244;0;Bottom;C40
780;;;6.7056;-288.775;0;Bottom;Copper Fill346
781;;;22.2758;-153.672;0;Bottom;Copper Fill428
782;100nF;100 mil [THT, multilayer];3.86969;-289.625;0;Bottom;C47
783;;;23.0242;-122.642;0;Bottom;Via61
784;;;17.5768;-399.15;0;Bottom;Copper Fill275
785;;;9.4234;-255.742;0;Bottom;Copper Fill241
786;;DIP (Dual Inline) [THT];11.8674;-124.552;-90;Bottom;IC7
787;;;3.3528;-130.964;0;Bottom;Copper Fill441
788;;5 mm [THT];26.3291;-120.864;0;Bottom;LED42
789;;;2.7432;-115.166;0;Bottom;Copper Fill164
790;1?F;100 mil [THT, tantalum];12.9912;-117.562;0;Bottom;C14
791;;;17.2212;-212.803;0;Bottom;Copper Fill389
792;;;12.8524;-146.966;0;Bottom;Copper Fill433
793;;;14.859;-248.262;0;Bottom;Copper Fill366
794;;;28.2956;-188.064;0;Bottom;Copper Fill124
795;;;17.0688;-271.934;0;Bottom;Copper Fill73
796;;;3.2512;-271.147;0;Bottom;Copper Fill355
